"Income" "Age" "Spending_Score" "Shopping_Frequency" "Brand_Loyalty" "Website_Visits" "Social_Media_Engagement" "Email_Open_Rate" "Customer_Satisfaction_Score" "Promotions_Utilized" "Cart_Abandonment_Rate"
"1" 70564.3767072 57.8697814568877 2.6647933227412 6 5.85480849922171 27 54.5591061280954 24.2204927606508 104.595440518129 3 58.8194946758449
"2" 41529.5274290587 20.9490775943268 29.1747829415292 7 6.48202352598571 28 47.0057277854665 37.8015214577317 62.6994970093427 5 28.8941476261243
"3" 55446.9261700601 56.5327191168908 8.28553653622631 8 8.74959489893891 38 48.6031059611604 10.1858913898468 98.5776782645382 0 1.24903155956417
"4" 59492.9390744156 43.3499338235706 28.27843759392 8 10.0098392962007 28 53.4307642723875 33.6718569276854 70.8916789553847 4 54.7063239384443
"5" 56064.024847115 41.4539446502458 16.6980618169684 6 5.67167125475448 29 55.3271335171034 37.6265352359042 68.4646095288018 2 26.0179190663621
"6" 48408.1322586277 19.0446840785444 48.7847715773491 10 11.0055243619097 29 62.394772380152 98.7654652446508 68.4696212918248 3 4.02027962263674
"7" 72672.8299615841 44.0423773257062 34.5168455960488 12 12.7763504389828 33 45.9205444535951 9.26451589912176 59.3879409310487 2 55.152166634798
"8" 48580.1144238035 51.8351873371284 20.0810933166769 5 4.3069689316803 24 43.8243591366499 53.4528076183051 68.4861212480636 1 42.2096595633775
"9" 80276.3557081556 29.0786157769617 62.1775662081454 14 16.9016534680666 33 78.7607860805029 8.5980603704229 69.2316374566681 0 69.1703210584819
"10" 49059.2885142137 56.1583450159524 10.2538181998635 6 5.91124356755054 30 40.9093357928246 88.9432162279263 71.258184252366 0 16.2878629053012
"11" 69573.0448133523 37.8092731619254 43.2728406190117 13 16.1159823599765 29 53.1489823383596 61.9887066073716 66.9210440240285 3 16.337334481068
"12" 84299.6808905166 44.5507958892267 36.5821978776283 11 11.7893582488539 33 60.6392775586631 99.5580677175894 81.2542451566012 5 8.10075651388615
"13" 29167.0894833149 25.1294668766204 24.3441390579375 7 7.85355409966895 30 23.887873516543 39.1090697143227 97.55896086862 1 27.477959706448
"14" 45818.1684977394 27.1552444687113 37.4730581877234 8 9.69664100205962 35 62.5839560107943 9.25224120728672 56.8150607402942 5 12.1939580189064
"15" 48000.1799540951 25.838802712271 43.7154310123444 8 10.7638887612076 32 58.4027040815041 86.7162486771122 81.7253032425979 4 4.58031506277621
"16" 59539.2559710511 57.2501498914789 7.66100037275544 6 5.76566287379021 32 45.286418080014 44.5215511601418 72.7461835209578 3 4.10237135365605
"17" 45736.2061787589 23.2206847639754 38.158256849852 8 8.66092227296029 39 45.4431117535435 83.5861905477941 80.640891299041 3 67.8312618751079
"18" 10153.1686864284 30.5992950114887 3.10559729027278 1 1.85837855835956 24 51.3256226136824 49.8935230774805 59.7098227020262 3 82.9922319855541
"19" 13392.9960713672 55.5286056050099 -2.08984284354083 1 0.448582013940419 30 72.4819234779111 5.67599746864289 48.8876633089685 5 73.662813869305
"20" 69801.7001859529 32.0496821850538 50.5699191152195 13 15.0942912041956 26 59.4716304530115 88.6073793051764 81.6247822469703 3 61.4446701016277
"21" 45400.4210888229 58.7757313672919 13.749295530445 6 6.00331482630601 18 42.7585549303054 84.4288761960343 64.3281537872087 2 47.0457446528599
"22" 23280.3734903 19.8528926137369 17.5182877292712 4 2.88880732537299 31 44.3867846436248 37.1286071371287 84.927045177414 3 56.3377828337252
"23" 47421.2396636057 33.9717049715109 30.3641854197462 7 5.29960629127187 32 44.5546588875604 89.3579772440717 47.1400045472444 2 51.1153599480167
